filepath,subject,session,mode,capture_label,timestamp
raw/user1/s20260517_161816/0001.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0002.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0003.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0004.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0005.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0006.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw\user5\s20260528_220347\0001.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:21
raw\user5\s20260528_220347\0002.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:21
raw\user5\s20260528_220347\0003.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:21
raw\user5\s20260528_220347\0004.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:31
raw\user5\s20260528_220347\0005.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:31
raw\user5\s20260528_220347\0006.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:32
raw\user5\s20260528_220347\0007.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:39
raw\user5\s20260528_220347\0008.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:39
raw\user5\s20260528_220347\0009.jpg,user5,s20260528_220347,posed,neutral,2026-05-28T22:04:39
raw\user5\s20260528_220347\0010.jpg,user5,s20260528_220347,posed,happiness,2026-05-28T22:05:01
raw\user5\s20260528_220347\0011.jpg,user5,s20260528_220347,posed,happiness,2026-05-28T22:05:02
raw\user5\s20260528_220347\0012.jpg,user5,s20260528_220347,posed,happiness,2026-05-28T22:05:02
raw\user5\s20260528_220743\0001.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:07:52
raw\user5\s20260528_220743\0002.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:07:52
raw\user5\s20260528_220743\0003.jpg,user5,s20260528_220743,posed,neutral,2026-05-28T22:07:52
